SORT,Begrotingsprogramma,THEMA,Variabele,Label,Labelkort,Definitie,Bron,Peildatum,Verschijningsfrequentie,Rekeneenheid,Symbool,GROEP,format,Thema Kerncijfertabel,Kleurenpalet,LegendaCode,SD minimum Bevtotaal,SD minimum WvoorrBAG,Geenkerncijfer
2161,Stedelijke ontwikkeling en wonen,Wonen,LTHUISVOELEN_R,Buurt: Thuisvoelen (1-10),Thuisvoelen (1-10),"Gemiddeld rapportcijfer dat bewoners geven als antwoord op de vraag: Voelt u zich thuis in uw buurt? (1= helemaal niet thuis, 10 = zeer thuis).

Er wordt alleen gerapporteerd over gebieden met minstens 20 respondenten.",Wonen in Amsterdam,nvt,1 keer in de twee jaar in de oneven jaren,3,,,F5.1,,1,1,0,0,0
2171,Verkeer en openbare ruimte,Openbare ruimte,OROMGEVINGMOOI_R,Uiterlijk woonomgeving (1-10),Uiterlijk woonomgeving (1-10),"Gemiddeld rapportcijfer dat bewoners geven als antwoord op de vraag: Hoe beoordeelt u de inrichting van de woonomgeving in uw buurt? (1=zeer lelijk, 10 =zeer mooi).

Er wordt alleen gerapporteerd over gebieden met minstens 20 respondenten.",Wonen in Amsterdam,nvt,1 keer in de twee jaar in de oneven jaren,3,,,F5.1,,1,1,0,0,0
2181,Verkeer en openbare ruimte,Openbare ruimte,ORWONINGENMOOI_R,Uiterlijk woningen (1-10),Uiterlijk woningen (1-10),"Gemiddeld rapportcijfer dat bewoners geven als antwoord op de vraag: Hoe beoordeelt u de woningen in uw buurt? (1=zeer lelijk, 10 =zeer mooi).

Er wordt alleen gerapporteerd over gebieden met minstens 20 respondenten.",Wonen in Amsterdam,nvt,1 keer in de twee jaar in de oneven jaren,3,,,F5.1,,1,1,0,0,0
2191,Verkeer en openbare ruimte,Openbare ruimte,ORGROENMOOI_R,Uiterlijk groen (1-10),Uiterlijk groen (1-10),"Gemiddeld rapportcijfer dat bewoners geven als antwoord op de vraag: Hoe beoordeelt u de groenvoorzieningen in uw buurt? (1=zeer lelijk, 10 =zeer mooi).

Er wordt alleen gerapporteerd over gebieden met minstens 20 respondenten.",Wonen in Amsterdam,nvt,1 keer in de twee jaar in de oneven jaren,3,,,F5.1,,1,1,0,0,0
2201,Verkeer en openbare ruimte,Openbare ruimte,ORAANBODSPELEN_R,Speelvoorzieningen (1-10),Speelvoorzieningen (1-10),"Gemiddeld rapportcijfer dat bewoners geven als antwoord op de vraag: Wat vindt u van het aanbod van speelvoorzieningen in uw buurt? (1=ruim onvoldoende, 10= ruim voldoende).

Er wordt alleen gerapporteerd over gebieden met minstens 20 respondenten.",Wonen in Amsterdam,nvt,1 keer in de twee jaar in de oneven jaren,3,,,F5.1,Verkeer en Openbare ruimte,1,1,0,0,0
2211,Verkeer en openbare ruimte,Openbare ruimte,ORVERLOED_P,Verloederingsscore,Verloederingsscore,"De verloederingsscore wordt berekend op basis van zes vragen uit de Veiligheidsmonitor. 
In welke mate ervaart u overlast van:   
*bekladding van muren of gebouwen
*rommel op straat
*hondenpoep
*vernieling straatmeubilair. 
Daarnaast wordt gevraagd naar het oordeel over: 
*het onderhoud in de buurt van groen 
*het onderhoud in de buurt van straten.

Alle vragen zijn omgescoord naar een schaal van 0 tot 100, waarbij 0 geen verloedering is en 100 zeer veel verloedering. De verloederingsscore is het gemiddelde van deze zes. 

Er wordt alleen gerapporteerd over gebieden met minstens 50 respondenten.",Veiligheidsmonitor,jaarcijfer,1 keer per jaar,1,,,F8.,Verkeer en Openbare ruimte,2,1,0,0,0
2221,Verkeer en openbare ruimte,Openbare ruimte,OR_GROF_P,Zwerfvuil grof,Zwerfvuil grof,"Het aandeel plekken waar op basis van tellingen minstens de score B is gegeven voor de aanwezigheid van grof zwerfvuil.   In vakken van 100 bij 100 meter is steeds gezocht naar de slechtste plek. Deze plek krijgt een score van A+, A, B, C of D, waarbij A+ het beste resultaat is (geen vuil aanwezig) en D het slechtste (veel vuil aanwezig).",Buiten in Beeld,jaarcijfer,1 keer per jaar,1,%,,F8.,,1,1,0,0,0
2231,Verkeer en openbare ruimte,Openbare ruimte,OR_FIJN_P,Zwerfvuil fijn,Zwerfvuil fijn,"Het aandeel plekken waar op basis van tellingen minstens de score B is gegeven voor de aanwezigheid van fijn zwerfvuil.   In vakken van 100 bij 100 meter is steeds gezocht naar de slechtste plek. Deze plek krijgt een score van A+, A, B, C of D, waarbij A+ het beste resultaat is (geen vuil aanwezig) en D het slechtste (veel vuil aanwezig).",Buiten in Beeld,jaarcijfer,2 keer per jaar,1,%,,F8.,Verkeer en Openbare ruimte,1,1,0,0,0
2241,Verkeer en openbare ruimte,Openbare ruimte,ORSCHOONSTRATEN_R,Schoon straten en stoepen (1-10),Schoon straten/stoepen (1-10),"Gemiddeld rapportcijfer dat bewoners geven als antwoord op de vraag: Hoe beoordeelt u het schoonhouden van de straten en stoepen in uw buurt? (1= ruim onvoldoende, 10 = ruim voldoende).

Er wordt alleen gerapporteerd over gebieden met minstens 20 respondenten.",Wonen in Amsterdam,nvt,1 keer in de twee jaar in de oneven jaren,3,,,F5.1,,1,1,0,0,0
2251,Verkeer en openbare ruimte,Openbare ruimte,ORSCHOONGROEN_R,Schoon groen (1-10),Schoon groen (1-10),"Gemiddeld rapportcijfer dat bewoners geven als antwoord op de vraag: Hoe beoordeelt u het schoonhouden van de groenvoorzieningen in uw buurt? (1= ruim onvoldoende, 10 = ruim voldoende).

Er wordt alleen gerapporteerd over gebieden met minstens 20 respondenten.",Wonen in Amsterdam,nvt,1 keer in de twee jaar in de oneven jaren,3,,,F5.1,,1,1,0,0,0
2261,Verkeer en openbare ruimte,Openbare ruimte,ORSCHOONSPELEN_R,Schoon speelvoorzieningen (1-10),Schoon speelvoorzieningen (1-10),"Gemiddeld rapportcijfer dat bewoners geven als antwoord op de vraag: Hoe beoordeelt u het schoonhouden van de speelvoorzieningen in uw buurt? (1= ruim onvoldoende, 10 = ruim voldoende).

Er wordt alleen gerapporteerd over gebieden met minstens 20 respondenten.",Wonen in Amsterdam,nvt,1 keer in de twee jaar in de oneven jaren,3,,,F5.1,,1,1,0,0,0
2271,Verkeer en openbare ruimte,Openbare ruimte,ORONDERHOUDSTRATEN_R,Onderhoud straten en stoepen (1-10),Onderhoud straten/stoepen (1-10),"Gemiddeld rapportcijfer dat bewoners geven als antwoord op de vraag: Hoe beoordeelt u de staat van onderhoud van de straten en stoepen in uw buurt? (1= ruim onvoldoende, 10 = ruim voldoende).

Er wordt alleen gerapporteerd over gebieden met minstens 20 respondenten.",Wonen in Amsterdam,nvt,1 keer in de twee jaar in de oneven jaren,3,,,F5.1,Verkeer en Openbare ruimte,1,1,0,0,0
2281,Verkeer en openbare ruimte,Openbare ruimte,ORONDERHOUDGROEN_R,Onderhoud groen (1-10),Onderhoud groen (1-10),"Gemiddeld rapportcijfer dat bewoners geven als antwoord op de vraag: Hoe beoordeelt u de staat van onderhoud van de groenvoorzieningen in uw buurt? (1= ruim onvoldoende, 10 = ruim voldoende).

Er wordt alleen gerapporteerd over gebieden met minstens 20 respondenten.",Wonen in Amsterdam,nvt,1 keer in de twee jaar in de oneven jaren,3,,,F5.1,Verkeer en Openbare ruimte,1,1,0,0,0
2291,Verkeer en openbare ruimte,Openbare ruimte,ORONDERHOUDSPELEN_R,Onderhoud speelvoorzieningen (1-10),Onderhoud speelvoorzieningen (1-10),"Gemiddeld rapportcijfer dat bewoners geven als antwoord op de vraag: Hoe beoordeelt u de staat van onderhoud van de speelvoorzieningen in uw buurt? (1= ruim onvoldoende, 10 = ruim voldoende).

Er wordt alleen gerapporteerd over gebieden met minstens 20 respondenten.",Wonen in Amsterdam,nvt,1 keer in de twee jaar in de oneven jaren,3,,,F5.1,,1,1,0,0,0
2301,Verkeer en openbare ruimte,Openbare ruimte,MVERVUILING_R,Overlast vervuiling (1-10),Overlast vervuiling (1-10),"Gemiddeld rapportcijfer dat bewoners geven als antwoord op de vraag: In welke mate ondervindt u overlast van vervuiling? (1= ernstige overlast, 10 =geen overlast).

Er wordt alleen gerapporteerd over gebieden met minstens 20 respondenten.",Wonen in Amsterdam,nvt,1 keer in de twee jaar in de oneven jaren,3,,,F5.1,,1,1,0,0,0
2311,Verkeer en openbare ruimte,Openbare ruimte,ORVERLICHT_P,Verlichting goed (%),Verlichting goed (%),"% Bewoners dat het (helemaal) eens is met de volgende stelling:
In de buurt is het buiten goed verlicht.

Er wordt alleen gerapporteerd over gebieden met minstens 50 respondenten.",Veiligheidsmonitor,jaarcijfer,1 keer per jaar,1,%,,F8.,,1,2,0,0,0
2321,Verkeer en openbare ruimte,Openbare ruimte,OROPP,Oppervlakte totaal,Oppervlakte totaal,Totaal oppervlak van het gebied in hectares,DRO,1 januari,"1 keer per jaar, met een jaar vertraging",2,ha,,F8.,,9,3,0,0,0
2331,Verkeer en openbare ruimte,Openbare ruimte,ORWATER,Oppervlakte water,Oppervlakte water,Aantal hectare binnenwater,DRO,1 januari,"1 keer per jaar, met een jaar vertraging",2,ha,bodemoppervlakte,F8.,,9,3,0,0,0
2341,Verkeer en openbare ruimte,Openbare ruimte,ORLAND,Oppervlakte land,Oppervlakte land,Landoppervlak in hectares (=totaal min het water),DRO,1 januari,"1 keer per jaar, met een jaar vertraging",2,ha,bodemoppervlakte,F8.,,9,3,0,0,0
2351,Verkeer en openbare ruimte,Openbare ruimte,ORGROEN,Oppervlakte groen,Oppervlakte groen,"Aantal hectare recreatie-, agrarisch, bos en natuurlijk terrein",DRO,1 januari,"1 keer per jaar, met een jaar vertraging",2,ha,,F8.,,9,3,0,0,0
2361,Verkeer en openbare ruimte,Openbare ruimte,ORSPORT,Oppervlakte sport,Oppervlakte sport,Aantal hectare sport- en golfterrein,DRO,1 januari,"1 keer per jaar, met een jaar vertraging",2,ha,,F8.,,9,3,0,0,0
2371,Verkeer en openbare ruimte,Openbare ruimte,ORWATER_P,Oppervlakte: % water,Oppervlakte: % water,Aandeel binnenwater op de totale oppervlakte.,DRO,1 januari,"1 keer per jaar, met een jaar vertraging",1,%,,F5.1,,1,2,0,0,0
2381,Verkeer en openbare ruimte,Openbare ruimte,ORGROEN_P,Oppervlakte: % groen,Oppervlakte: % groen,Aandeel groen op het landoppervlak,DRO,1 januari,"1 keer per jaar, met een jaar vertraging",1,%,,F5.1,,1,2,0,0,0
2391,Verkeer en openbare ruimte,Openbare ruimte,ORSPORT_P,Oppervlakte: % sport,Oppervlakte: % sport,Aandeel sport- en golfterrein op het landoppervlak,DRO,1 januari,"1 keer per jaar, met een jaar vertraging",1,%,,F5.1,,1,2,0,0,0
2401,Verkeer en openbare ruimte,Openbare ruimte,ORVERBLIJF_I,Verblijversdichtheidsindex,Verblijversdichtheidsindex,"De Verblijversdichtheidsindex beschrijft per wijk het aantal verblijvers per hectare openbare ruimte op een gemiddelde dag. De indexwaarde 100 staat voor het stedelijk gemiddelde in 2014. Een indexcijfer boven de 100 betekent dat er op een gemiddelde dag per hectare meer mensen verblijven dan gemiddeld in Amsterdam in 2014.

Verblijvers zijn bewoners, werkzame personen, studenten en bezoekers. Er is geen rekening gehouden met verkeer.  

Het aantal bezoekers is gebaseerd op bezoekersaantallen voor: hotels, Airbnb, bibliotheek, familie en vrienden, sport, ziekenhuizen, werkbezoek, musea, attracties/evenementen en theater, rondvaartboten, winkelstraten, markten, parken, trein, P+R, pontgebruik.",OIS,jaarcijfer,1 keer per jaar,4,,,F8.,Verkeer en Openbare ruimte,1,2,0,0,0
2411,Verkeer en openbare ruimte,Openbare ruimte,ORHLDRUK_P,Heel druk (%),Heel druk (%),"Aandeel bewoners, ondernemers en studenten in een gebied dat ""heel druk"" antwoordt op de volgende vraag: 
Hoe zou u uw buurt waar u woont (of werkt of studeert of waar uw onderneming gevestigd is) beschrijven? Is dat …?",OIS,nvt,1 keer in de 2 jaar,1,%,,F8.,,2,2,0,0,0
2421,Verkeer en openbare ruimte,Verkeer,VKHARD_P,Overlast: te hard rijden (%),Overlast te hard rijden (%),"% Bewoners dat zegt zelf veel overlast te ervaren van te hard rijden in de buurt.

Er wordt alleen gerapporteerd over gebieden met minstens 50 respondenten.",Veiligheidsmonitor,jaarcijfer,1 keer per jaar,1,%,,F8.,Verkeer en Openbare ruimte,2,1,0,0,0
2431,Verkeer en openbare ruimte,Verkeer,VKAGRESSIEF_P,Overlast: agressief gedrag verkeer (%),Overlast agressief gedrag verkeer (%),"% Bewoners dat zegt zelf veel overlast te ervaren in de buurt van agressief gedrag in het verkeer.

Er wordt alleen gerapporteerd over gebieden met minstens 50 respondenten.",Veiligheidsmonitor,jaarcijfer,1 keer per jaar,1,%,,F8.,,2,1,0,0,0
2441,Verkeer en openbare ruimte,Verkeer,VKPARKOVL_P,Overlast: parkeerproblemen (%),Overlast parkeerproblemen (%),"% Bewoners dat zegt zelf veel overlast te ervaren in de buurt van parkeerproblemen, bijvoorbeeld fout geparkeerde voertuigen of drukte.

Er wordt alleen gerapporteerd over gebieden met minstens 50 respondenten.",Veiligheidsmonitor,jaarcijfer,1 keer per jaar,1,%,,F8.,,2,1,0,0,0
2451,Verkeer en openbare ruimte,Verkeer,VKPTOTAAL,Parkeerplaatsen totaal,Parkeerplaatsen totaal,Aantal parkeerplaatsen in de openbare ruimte.,RVE Parkeren,februari,1 keer per jaar,2,,,F8.,,9,3,0,0,0
2461,Verkeer en openbare ruimte,Verkeer,VKPFISCAAL,Parkeerplaatsen fiscaal,Parkeerplaatsen fiscaal,Aantal fiscale parkeerplaatsen in de openbare ruimte. Dit zijn parkeerplaatsen waarvoor parkeergeld betaald moet worden volgens de daarvoor geldende regels.,RVE Parkeren,februari,1 keer per jaar,2,,parkeerplaatsen,F8.,,9,3,0,0,0
2471,Verkeer en openbare ruimte,Verkeer,VKPNIETFISC,Parkeerplaatsen niet-fiscaal,Parkeerplaatsen niet-fiscaal,Aantal niet-fiscale parkeerplaatsen in de openbare ruimte. Dit zijn parkeerplaatsen waar gratis kan worden geparkeerd.,RVE Parkeren,februari,1 keer per jaar,2,,parkeerplaatsen,F8.,,9,3,0,0,0
2481,Verkeer en openbare ruimte,Verkeer,VKPMULDER,Parkeerplaatsen Mulderplaats,Parkeerplaatsen Mulderplaats,"Aantal niet algemeen toegankelijke parkeerplaatsen in de openbare ruimte als bus- of taxistandplaatsen, gehandicaptenparkeerplaatsen, plaatsen bestemd voor laden en lossen en plaatsen bestemd voor politie.",RVE Parkeren,februari,1 keer per jaar,2,,parkeerplaatsen,F8.,,9,3,0,0,0
2491,Verkeer en openbare ruimte,Verkeer,VKPARKEREN_R,Parkeervoorzieningen (1-10),Parkeervoorzieningen (1-10),"Gemiddeld rapportcijfer dat bewoners geven als antwoord op de vraag: Wat vindt u van het aanbod van parkeervoorzieningen in uw buurt? (1=ruim onvoldoende, 10= ruim voldoende).

Er wordt alleen gerapporteerd over gebieden met minstens 20 respondenten.",Wonen in Amsterdam,nvt,1 keer in de twee jaar in de oneven jaren,3,,,F5.1,Verkeer en Openbare ruimte,1,1,0,0,0
2501,Verkeer en openbare ruimte,Verkeer,VKFIETSPARKEREN_R,Parkeervoorzieningen fietsen (1-10),Parkeervoorzieningen fietsen (1-10),"Gemiddeld rapportcijfer dat bewoners geven als antwoord op de vraag: Wat vindt u van het aanbod aan fietsparkeervoorzieningen in uw buurt (1=ruim onvoldoende, 10 = ruim voldoende)..

Er wordt alleen gerapporteerd over gebieden met minstens 20 respondenten.",Wonen in Amsterdam,nvt,1 keer in de twee jaar in de oneven jaren,3,,,F5.1,Verkeer en Openbare ruimte,1,1,0,0,0
2511,Verkeer en openbare ruimte,Verkeer,VKPARKEEROVERLAST_R,Parkeeroverlast (1-10),Parkeeroverlast (1-10),"Gemiddeld rapportcijfer dat bewoners geven als antwoord op de vraag: Kunt u aangeven in welke mate u overlast ondervindt van parkeren? (1= ernstige overlast, 10 =geen overlast).

Er wordt alleen gerapporteerd over gebieden met minstens 20 respondenten.",Wonen in Amsterdam,nvt,1 keer in de twee jaar in de oneven jaren,3,,,F5.1,,1,1,0,0,0
2521,Verkeer en openbare ruimte,Verkeer,VKOV_R,Aanbod OV (1-10),OV (1-10),"Gemiddeld rapportcijfer dat bewoners geven als antwoord op de vraag: Wat vindt u van het aanbod van openbaar vervoer in uw buurt? (1=ruim onvoldoende, 10= ruim voldoende).

Er wordt alleen gerapporteerd over gebieden met minstens 20 respondenten.",Wonen in Amsterdam,nvt,1 keer in de twee jaar in de oneven jaren,3,,,F5.1,Verkeer en Openbare ruimte,1,1,0,0,0
2531,Verkeer en openbare ruimte,Verkeer,VKOV65_R,Aanbod OV 65+ (1-10),OV 65+ (1-10),"Gemiddeld rapportcijfer dat bewoners van 65 jaar en ouder geven als antwoord op de vraag: Wat vindt u van het aanbod van openbaar vervoer in uw buurt? (1=ruim onvoldoende, 10= ruim voldoende).

Er wordt alleen gerapporteerd over gebieden met minstens 20 respondenten.",Wonen in Amsterdam,nvt,1 keer in de twee jaar in de oneven jaren,3,,,F5.1,,1,1,0,0,0
2541,Verkeer en openbare ruimte,Verkeer,VKOVERLASTVERKEER_R,Overlast verkeersdrukte (1-10),Overlast verkeersdrukte (1-10),"Gemiddeld rapportcijfer dat bewoners geven als antwoord op de vraag: In welke mate ondervindt u overlast van verkeersdrukte? (1= ernstige overlast, 10 =geen overlast).

Er wordt alleen gerapporteerd over gebieden met minstens 20 respondenten.",Wonen in Amsterdam,nvt,1 keer in de twee jaar in de oneven jaren,3,,,F5.1,,1,1,0,0,0
2551,Verkeer en openbare ruimte,Verkeer,VKVERKEERSLAWAAI_R,Overlast verkeerslawaai (1-10),Overlast verkeerslawaai (1-10),"Gemiddeld rapportcijfer dat bewoners geven als antwoord op de vraag: In welke mate ondervindt u overlast van verkeerslawaai? (1= ernstige overlast, 10 =geen overlast).

Er wordt alleen gerapporteerd over gebieden met minstens 20 respondenten.",Wonen in Amsterdam,nvt,1 keer in de twee jaar in de oneven jaren,3,,,F5.1,,1,1,0,0,0
2561,Openbare orde en veiligheid,Veiligheid,VVEILIGH_I,Veiligheidsindex totaal,Veiligheidsindex totaal,"De veiligheidsindex beschrijft de veiligheid van een gebied. De waarde 100 staat voor de gemiddelde veiligheid in de politieregio Amsterdam-Amstelland in 2014 (Amsterdam, Aalsmeer, Amstelveen, Diemen, Ouder-Amstel en Uithoorn). Hoe lager de score, hoe veiliger. De Veiligheidsindex is opgebouwd uit de drie deelindexen voor criminaliteit, overlast en onveiligheidsbeleving. De indexen zijn gebaseerd op politiecijfers en de Veiligheidsmonitor. 

De cijfers op wijkniveau zijn gebaseerd op de buurtindeling van de veiligheidsindex. Verschillen tussen beide indelingen zijn buiten beschouwing gelaten.",OOV/ OIS,jaarcijfer,1 keer per jaar,4,,,F8.,Openbare orde en veiligheid,2,1,0,0,0
2571,Openbare orde en veiligheid,Veiligheid,VCRIMIN_I,Veiligheidsindex: Criminaliteit,Criminaliteit index,"De criminaliteitsindex beschrijft hoeveel criminaliteit plaatsvindt in een gebied gebaseerd op politiecijfers en slachtofferschapgegevens uit de enquête Veiligheidsmonitor. Er wordt onderscheid gemaakt tussen High Impact Criminaliteit (HIC) en High Volume Criminaliteit (HVC). Een delict dat het slachtoffer persoonlijk raakt, zoals geweld, is een High Impact delict. Veel voorkomende delicten zoals bv diefstal uit een auto raken het slachtoffer in mindere mate en vallen onder High Volume delicten. De criminaliteitsindex is het gemiddelde van de HIC- en de HVC-index.  De waarde 100 staat voor de gemiddelde aanwezigheid van criminaliteit in de politieregio Amsterdam-Amstelland in 2014. Hoe lager de score, hoe minder criminaliteit. 

De cijfers op wijkniveau zijn gebaseerd op de buurtindeling van de veiligheidsindex. Verschillen tussen beide indelingen zijn buiten beschouwing gelaten.",OOV/ OIS,jaarcijfer,1 keer per jaar,4,,,F8.,Openbare orde en veiligheid,2,1,0,0,0
2581,Openbare orde en veiligheid,Veiligheid,VVOLUME_I,Veiligheidsindex: High Volume Crime,High Volume Crime index,"High Volume delicten zijn veelvoorkomende delicten die het slachtoffer in mindere mate persoonlijk raken. De index geeft weer in welke mate de volgende delicten plaatsvinden volgens politiecijfers en slachtofferschapgegevens uit de enquête Veiligheidsmonitor: inbraak uit een box/garage/schuur/tuinhuis, diefstal vanaf/uit motorvoertuigen, diefstal van voertuigen, overige vermogensdelicten, diefstal/inbraak bij bedrijven en instellingen, winkeldiefstallen en zakkenrollerij.. De waarde 100 staat voor de gemiddelde aanwezigheid van High Volume Criminaliteit in de politieregio Amsterdam-Amstelland in 2014. Hoe lager de score, hoe minder HVC. 

De cijfers op wijkniveau zijn gebaseerd op de buurtindeling van de veiligheidsindex. Verschillen tussen beide indelingen zijn buiten beschouwing gelaten.",OOV/ OIS,jaarcijfer,1 keer per jaar,4,,,F8.,,2,1,0,0,0
2591,Openbare orde en veiligheid,Veiligheid,VIMPACT_I,Veiligheidsindex: High Impact Crime,High Impact Crime index,"Een delict dat het slachtoffer persoonlijk raakt, zoals geweld, is een High Impact delict. De index geeft weer in welke mate de volgende delicten plaatsvinden volgens politiecijfers en slachtofferschapgegevens uit de enquête Veiligheidsmonitor: zedenmisdrijven, moord/doodslag, bedreiging, mishandeling/openlijk geweld, straatroof, overvallen en diefstal/inbraak woning. De waarde 100 staat voor de gemiddelde aanwezigheid van High Impact Criminaliteit in de politieregio Amsterdam-Amstelland in 2014. Hoe lager de score, hoe minder HIC. 

De cijfers op wijkniveau zijn gebaseerd op de buurtindeling van de veiligheidsindex. Verschillen tussen beide indelingen zijn buiten beschouwing gelaten.",OOV/ OIS,jaarcijfer,1 keer per jaar,4,,,F8.,,2,1,0,0,0
2601,Openbare orde en veiligheid,Veiligheid,VOVERLAST_I,Overlast: Overlastindex,Overlastindex,"De Overlastindex beschrijft de aanwezigheid van bedoelde of onbedoelde gedragingen die gericht zijn tegen personen dan wel objecten of goederen (in de openbare ruimte) die niet altijd strafbaar zijn (bijvoorbeeld rondhangende jongeren, zwerfvuil, baldadigheid, graffiti of vandalisme), maar die wel als hinderlijk worden ervaren en daarmee de sociale veiligheid aantasten in een buurt. De index is gebaseerd op politiecijfers en enquêtegegevens. De waarde 100 staat voor de gemiddelde aanwezigheid van overlast in de politieregio Amsterdam-Amstelland in 2014. Hoe lager de score, hoe minder overlast.

De cijfers op wijkniveau zijn gebaseerd op de buurtindeling van de veiligheidsindex. Verschillen tussen beide indelingen zijn buiten beschouwing gelaten.",OOV/ OIS,jaarcijfer,1 keer per jaar,4,,,F8.,Openbare orde en veiligheid,2,1,0,0,0
2611,Verkeer en openbare ruimte,Openbare ruimte,VVERLOED_I,Verloederingsindex,Verloederingsindex,"De Verloederingsindex beschrijft de aanwezigheid van bedoelde of onbedoelde gedragingen die gericht zijn tegen objecten of goederen in de openbare ruimte die niet altijd strafbaar zijn (bijvoorbeeld zwerfvuil, graffiti of vandalisme), maar die wel als hinderlijk worden ervaren en daarmee de sociale veiligheid aantasten in een buurt. De index is gebaseerd op politiecijfers en enquêtegegevens. De waarde 100 staat voor de gemiddelde aanwezigheid van verloedering in de politieregio Amsterdam-Amstelland in 2014. Hoe lager de score, hoe minder verloedering.

De cijfers op wijkniveau zijn gebaseerd op de buurtindeling van de veiligheidsindex. Verschillen tussen beide indelingen zijn buiten beschouwing gelaten.",OOV/ OIS,jaarcijfer,1 keer per jaar,4,,,F8.,,2,1,0,0,0
2621,Openbare orde en veiligheid,Veiligheid,VPERSONOVL_I,Overlast: Personenoverlastindex,Personenoverlastindex,"De Overlastindex beschrijft de aanwezigheid van bedoelde of onbedoelde gedragingen die gericht zijn tegen personen die niet altijd strafbaar zijn (bijvoorbeeld rondhangende jongeren,  baldadigheid, maar die wel als hinderlijk worden ervaren en daarmee de sociale veiligheid aantasten in een buurt. De index is gebaseerd op politiecijfers en enquêtegegevens. De waarde 100 staat voor de gemiddelde aanwezigheid van personenoverlast in de politieregio Amsterdam-Amstelland in 2014. Hoe lager de score, hoe minder personenoverlast.

De cijfers op wijkniveau zijn gebaseerd op de buurtindeling van de veiligheidsindex. Verschillen tussen beide indelingen zijn buiten beschouwing gelaten.",OOV/ OIS,jaarcijfer,1 keer per jaar,4,,,F8.,Openbare orde en veiligheid,2,1,0,0,0
2631,Openbare orde en veiligheid,Veiligheid,VBELEVING_I,Onveiligheidsbelevingsindex,Onveiligheidsbelevingsindex,"De Onveiligheidsbelevingsindex is opgebouwd uit drie elementen: risicoperceptie, onveiligheidsbeleving en vermijdingsgedrag. Risicoperceptie is de inschatting van de kans op slachtofferschap van criminaliteit en overlast. De veiligheidsgevoelens brengen in kaart of en hoe vaak men zich onveilig of angstig voor criminaliteit voelt. Risicoperceptie is daarmee de cognitieve component, veiligheidsbeleving de affectieve component en vermijding (van bepaald gedrag of plekken) de zogenaamde conatieve component; gedrag als gevolg van een mindere veiligheidsbeleving. De index is gebaseerd op de enquête Veiligheidsmonitor. De waarde 100 staat voor de gemiddelde onveiligheidsbeleving in de politieregio Amsterdam-Amstelland in 2014. Hoe lager de score, hoe minder onveiligheidsbeleving.

De cijfers op wijkniveau zijn gebaseerd op de buurtindeling van de veiligheidsindex. Verschillen tussen beide indelingen zijn buiten beschouwing gelaten.",OOV/ OIS,jaarcijfer,1 keer per jaar,4,,,F8.,Openbare orde en veiligheid,2,1,0,0,0
2651,Openbare orde en veiligheid,Veiligheid,VVEILPREV_P,Beveiligingsmaatregelen woning (%),Beveiligingsmaatregelen (%),"Aandeel 15-plussers dat 1 of meer van de volgende beveiligingsmaatregelen voor de woning heeft genomen:
*extra sloten
*rolluiken
*alarm.",Veiligheidsmonitor,jaarcijfer,1 keer per jaar,1,%,,F8.,,1,2,0,0,0
2661,Openbare orde en veiligheid,Veiligheid,VSLACHT_P,Slachtofferschap  (%),Slachtofferschap  (%),"Aandeel 15-plussers dat de afgelopen 12 maanden eens of vaker slachtoffer is geweest van vermogensdelicten, geweld of vandalisme. 

Er wordt alleen gerapporteerd over gebieden met minstens 50 respondenten.",Veiligheidsmonitor,jaarcijfer,1 keer per jaar,1,%,,F8.,,2,1,0,0,0
2671,Openbare orde en veiligheid,Veiligheid,VSLACHTJONG_P,Slachtofferschap (% jongeren),Slachtofferschap (% jongeren),"Aandeel 15 tot en met 25-jarigen dat de afgelopen 12 maanden eens of vaker slachtoffer is geweest van vermogensdelicten, geweld of vandalisme.

Er wordt alleen gerapporteerd over gebieden met minstens 50 respondenten.",Veiligheidsmonitor,jaarcijfer,1 keer per jaar,1,%,,F8.,,2,1,0,0,0
2681,Openbare orde en veiligheid,Veiligheid,VSLACHTVERM_P,Slachtofferschap: vermogensdelicten (%),Slachtoffers vermogensdelicten (%),"Aandeel 15-plussers dat de afgelopen 12 maanden eens of vaker slachtoffer is geweest van vermogensdelicten: diefstal uit/vanaf auto, fietsendiefstal, diefstal van overige voertuigen, zakkenrollerij, overige diefstal en/of verkoopfraude.

Er wordt alleen gerapporteerd over gebieden met minstens 50 respondenten.",Veiligheidsmonitor,jaarcijfer,1 keer per jaar,1,%,,F8.,,2,1,0,0,0
2691,Openbare orde en veiligheid,Veiligheid,VSLACHTGEW_P,Slachtofferschap: geweld (%),Slachtoffers geweld (%),"Aandeel 15-plussers dat de afgelopen 12 maanden slachtoffer is geweest van geweld.

Er wordt alleen gerapporteerd over gebieden met minstens 50 respondenten.",Veiligheidsmonitor,jaarcijfer,1 keer per jaar,1,%,,F8.,,2,1,0,0,0
2701,Openbare orde en veiligheid,Veiligheid,VSLACHTVAN_P,Slachtofferschap: vandalisme (%),Slachtoffers vandalisme (%),"Aandeel 15-plussers dat de afgelopen 12 maanden slachtoffer is geweest van vandalisme.

Er wordt alleen gerapporteerd over gebieden met minstens 50 respondenten.",Veiligheidsmonitor,jaarcijfer,1 keer per jaar,1,%,,F8.,,2,1,0,0,0
